Ins,LB.2nd.Stage,Time.LB,OP.status,MP.Status,SP.Status,Num.Iteration,"#Avg,Iter",Gap,Total.Time,Avg.Total.Time,Total.Time.MP,Total.Time.SP,Avg.Time.MP,Avg.Time.SP,UB,LB,Obj.MP,Obj-F1F2,Obj-theta,Obj-SP,Num.OptCut,Num.NogoodCut
20_17,-1,0,-1,1,-1,197,,0.108582,3605.008367,,153.700148,3451.308219,0.780204,17.519331,33263.00032,30005,30005,30005,0,-1,0,195
20_18,-1,0,-1,1,-1,239,,0.075969,3605.005046,,525.000544,3080.004502,2.196655,12.887048,43041.99986,40003,40003,40003,0,-1,0,237
20_26,-1,0,-1,1,-1,100,,0.064399,3605.095812,,740.294119,2864.801693,7.402941,28.648017,53221.00008,50001,50001,50001,0,-1,3,95
20_23,-1,0,-1,1,-1,82,,0.075469,3605.091806,,306.19629,3298.895516,3.734101,40.230433,43022.00005,40002.99556,40002.99556,40002.99556,0,-1,3,77
20_25,-1,0,-1,1,-1,93,,0.075969,3605.020878,,859.277073,2745.743805,9.239538,29.524127,43041.99987,40002.99499,40002.99499,40002.99499,0,-1,0,91
20_20,-1,0,-1,1,-1,111,,0.074944,3605.08696,,373.757568,3231.329392,3.367185,29.111076,43000.99981,40003,40003,40003,0,-1,0,109
20_19,-1,0,-1,1,-1,93,,0.080971,3605.018877,,312.969786,3292.049091,3.365267,35.398377,43240.9998,40002,40002,40002,0,-1,2,89
20_24,-1,0,-1,1,-1,122,,0.075442,3605.014509,,713.266922,2891.747587,5.84645,23.702849,43021.99996,40004,40004,40004,0,-1,0,120
20_27,-1,0,-1,1,-1,200,,0.074943,3605.005896,,354.670496,3250.3354,1.773352,16.251677,43001.99983,40004,40004,40004,0,-1,0,198
20_22,-1,0,-1,1,-1,156,,0.059999,3605.000935,,1042.388279,2562.612656,6.681976,16.427004,53001.00016,50001,50001,50001,0,-1,0,154
20_29,-1,0,-1,1,1,148,,0.077944,3604.872794,,414.09433,3190.778464,2.797935,21.559314,43120.98868,40003,40003,40003,0,3119.999531,2,145
20_30,-1,0,-1,1,1,146,,0.077469,3604.644651,,297.73511,3306.909541,2.039282,22.650065,43102.00007,40003,40003,40003,0,3100.000295,0,145
20_16,-1,0,-1,1,-1,116,,0.074969,3605.00537,,590.129616,3014.875754,5.087324,25.990308,43002.00016,40003,40003,40003,0,-1,2,112
20_21,-1,0,-1,1,-1,230,,0.075467,3605.005841,,507.278439,3097.727401,2.205558,13.46838,43022.99995,40004,40004,40004,0,-1,0,228
20_28,-1,0,-1,1,-1,121,,0.065577,3605.103993,,650.315585,2954.788408,5.374509,24.419739,53280.99887,50002,50002,50002,0,-1,3,116
30_1,-1,0,-1,1,-1,12,,0.078665,3605.106547,,114.227193,3490.879354,9.518933,290.906613,64720.99929,60001,60001,60001,0,-1,0,10
30_2,-1,0,-1,1,-1,26,,0.079981,3605.155834,,365.862582,3239.293252,14.071638,124.588202,64800.99971,60002,60002,60002,0,-1,0,24
30_3,-1,0,-1,1,-1,11,,0.074221,3605.213764,,125.79511,3479.418654,11.435919,316.310787,64454.33309,60001,60001,60001,0,-1,0,9
30_5,-1,0,-1,1,-1,13,,0.07696,3605.026631,,254.614892,3350.411739,19.585761,257.72398,64618.6656,60001,60001,60001,0,-1,3,8
30_6,-1,0,-1,1,-1,10,,0.076275,3605.143275,,127.10269,3478.040585,12.710269,347.804058,64578.66608,60002,60002,60002,0,-1,0,8
30_4,-1,0,-1,1,-1,20,,0.076221,3605.002867,,376.782007,3228.22086,18.8391,161.411043,64574.33335,60001,60001,60001,0,-1,0,18
30_7,-1,0,-1,1,-1,17,,0.075091,3605.036298,,484.398514,3120.637784,28.49403,183.566928,64508.66673,60003,60003,60003,0,-1,2,13
30_8,-1,0,-1,1,-1,17,,0.075759,3605.072796,,250.458705,3354.614091,14.732865,197.330241,64547.66645,60002,60002,60002,0,-1,1,14
30_10,-1,0,-1,1,-1,11,,0.063189,3605.399688,,503.701584,3101.698103,45.791053,281.972555,74425.3328,70002,70002,70002,0,-1,0,9
30_11,-1,0,-1,1,-1,31,,0.073998,3605.006289,,246.840043,3358.166246,7.962582,108.327943,64441.99997,60002,60002,60002,0,-1,0,29
30_12,-1,0,-1,1,-1,12,,0.074221,3605.004596,,154.173752,3450.830844,12.847813,287.569237,64454.33319,60001,60001,60001,0,-1,0,10
30_22,-1,0,-1,1,-1,13,,0.078497,3605.078119,,136.797038,3468.281081,10.522849,266.790852,64712.00002,60002,60002,60002,0,-1,1,10
30_14,-1,0,-1,1,-1,11,,0.073498,3605.505991,,154.000032,3451.50596,14.000003,313.773269,64412.00013,60002,60002,60002,0,-1,1,8
30_18,-1,0,-1,1,-1,8,,0.075758,3605.247344,,81.637336,3523.610008,10.204667,440.451251,64547.6586,60002,60002,60002,0,-1,1,5
30_17,-1,0,-1,1,-1,20,,0.076721,3605.012677,,214.712946,3390.299731,10.735647,169.514987,64604.33256,60001,60001,60001,0,-1,1,17
30_23,-1,0,-1,1,-1,25,,0.073717,3605.012977,,258.8262,3346.186777,10.353048,133.847471,64427.33288,60004,60004,60004,0,-1,0,23
30_26,-1,0,-1,1,-1,18,,0.076718,3605.123794,,287.634162,3317.489632,15.979676,184.30498,64606.33313,60003,60003,60003,0,-1,1,15
