Ins,LB.2nd.Stage,Time.LB,Avg.Time.LB,Num.Nodes,Avg.Nodes,Num.Arcs,Avg.Arcs,Time.Build.G1,Avg.Time.Build.G1,Time.Find.SP,ShortestPath.Cost,Solve optimally by Heu,Num.Ins.Opt.Heu,Kahn_Heu is feasible,Kahn_SP2 is feasible,Obj.MP,Obj.SP,Total.Time,Avg.Time,Num.LBBD.Iters,Avg.Iter,UB,currentLB,OP.Status,MP.Status,SP.Status,Gap,MP.gap,SP.gap,Total.Time.MP,Avg.T.Time.MP,Total.Time.SP,Avg.T.Time.SP,Num.SP-1.Solved,Avg.Time.MP,Avg.MP.Time,Avg.Time.SP,Avg.SP.Time,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood.Cuts,Avg.Num.Lazy1,Avg.Num.Lazy2,Avg.Num.Lazy3,Avg.Num.SP-No.Cuts,Time.Solve.SP2-S2,Num.SP-S2.Solved,Avg.Time.Solve.SP-S2
10_1,1469.999966,0.010945,0.013558267,1293,2635.4,3718,9320.3,0,0.001733333,0,30001,1,29,1,0,30001,1469.999966,0.010945,0.0173428,1,1,31470.99997,31470.99997,1,1,1,0,0,0,0,0,0,0.0020512,0,0,0,0,0.0020512,0,0,0,0,0,0,0,0,0,0,0
10_2,1479.999906,0.010813,,4186,,15958,,0.003,,0,40003,1,,1,0,40003,1479.999906,0.013813,,1,,41482.99991,41482.99991,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_3,1479.999927,0.009592,,2512,,8626,,0.002,,0,40002,1,,1,0,40002,1479.999927,0.011592,,1,,41481.99993,41481.99993,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_7,1609.999961,0.011447,,3438,,13122,,0.003,,0,50002,1,,1,0,50002,1609.999961,0.014447,,1,,51611.99996,51611.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_4,1609.999961,0.010747,,3613,,13388,,0.003,,0,40003,1,,1,0,40003,1609.999961,0.013747,,1,,41612.99996,41612.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_6,1609.999961,0.039654,,2712,,9535,,0.002,,0,40002,1,,1,0,40002,1609.999961,0.041654,,1,,41611.99996,41611.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_5,1469.999966,0.011304,,1492,,4514,,0.001,,0,30002,1,,1,0,30002,1469.999966,0.012304,,1,,31471.99997,31471.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_8,1569.999965,0.009491,,1025,,2843,,0,,0,30001,0,,0,0,30001,1569.999921,0.071027,,1,,31570.99992,31570.99997,1,1,1,0,0,0,0,,0.061536,,1,0,,0.061536,,5,0,3,0,5,0,3,0,0.002,1,0.002
10_9,1600.000101,0.009806,,2851,,10029,,0.002,,0,40002,1,,1,0,40002,1600.000101,0.011806,,1,,41602.0001,41602.0001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_11,1609.999961,0.011651,,2712,,9535,,0.002,,0,40002,1,,1,0,40002,1609.999961,0.013651,,1,,41611.99996,41611.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_12,1630.000019,0.011039,,1096,,3075,,0,,0,30001,1,,1,0,30001,1630.000019,0.011039,,1,,31631.00002,31631.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_10,1569.999965,0.008908,,2917,,10327,,0.002,,0,40002,1,,1,0,40002,1569.999965,0.010908,,1,,41571.99997,41571.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_13,1470.000015,0.010073,,2284,,7850,,0.001,,0,40002,1,,1,0,40002,1470.000015,0.011073,,1,,41472.00002,41472.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
