Ins,LB.2nd.Stage,Time.LB,Avg.Time.LB,Num.Nodes,Avg.Nodes,Num.Arcs,Avg.Arcs,Time.Build.G1,Avg.Time.Build.G1,Time.Find.SP,ShortestPath.Cost,Solve optimally by Heu,Num.Ins.Opt.Heu,Kahn_Heu is feasible,Kahn_SP2 is feasible,Obj.MP,Obj.SP,Total.Time,Avg.Time,Num.LBBD.Iters,Avg.Iter,UB,currentLB,OP.Status,MP.Status,SP.Status,Gap,MP.gap,SP.gap,Total.Time.MP,Avg.T.Time.MP,Total.Time.SP,Avg.T.Time.SP,Num.SP-1.Solved,Avg.Time.MP,Avg.MP.Time,Avg.Time.SP,Avg.SP.Time,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood.Cuts,Avg.Num.Lazy1,Avg.Num.Lazy2,Avg.Num.Lazy3,Avg.Num.SP-No.Cuts,Time.Solve.SP2-S2,Num.SP-S2.Solved,Avg.Time.Solve.SP-S2
10_1,1520.000038,0.009786,0.0106873,1810,2005.466667,5514,6469.833333,0.001,0.001166667,0,30002,1,26,1,0,30002,1520.000038,0.010786,0.030186067,1,1,31522.00004,31522.00004,1,1,1,0,0,0,0,0,0,0.0183321,0,0,0,0,0.0183321,0,0,0,0,0,0,0,0,0,0,0
10_2,1630.000019,0.017873,,973,,2453,,0,,0,30001,1,,0,1,30001,1630.000019,0.017873,,1,,31631.00002,31631.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.001,1,0.001
10_3,1479.999951,0.010903,,2099,,6614,,0.001,,0,30002,1,,0,1,30002,1479.999951,0.011903,,1,,31481.99995,31481.99995,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_7,1479.999906,0.009594,,2127,,6722,,0.001,,0,30002,1,,0,1,30002,1479.999906,0.010594,,1,,31481.99991,31481.99991,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.013,1,0.013
10_6,1469.999966,0.010605,,1810,,5514,,0.001,,0,30002,1,,1,0,30002,1469.999966,0.011605,,1,,31471.99997,31471.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_5,1560.000014,0.008968,,1417,,4288,,0.001,,0,30002,1,,1,0,30002,1560.000014,0.009968,,1,,31562.00001,31562.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_8,1479.999951,0.010208,,2823,,9602,,0.002,,0,30003,1,,1,0,30003,1479.999951,0.012208,,1,,31482.99995,31482.99995,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_9,1490.00001,0.010064,,1492,,4514,,0.001,,0,30002,1,,0,1,30002,1490.00001,0.011064,,1,,31492.00001,31492.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_4,1599.99997,0.011086,,658,,1675,,0,,0,30001,1,,1,0,30001,1599.99997,0.011086,,1,,31600.99997,31600.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_14,1470.000044,0.01063,,1237,,3566,,0,,0,30001,0,,0,0,30001,1470.000044,0.060378,,1,,31471.00004,31471.00004,1,1,1,0,0,0,0,,0.049748,,1,0,,0.049748,,5,0,7,0,5,0,7,0,0.003,2,0.0015
10_12,1560.000014,0.012519,,2823,,9602,,0.002,,0,30003,1,,1,0,30003,1560.000014,0.014519,,1,,31563.00001,31563.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_10,1479.999927,0.012131,,1580,,4519,,0.001,,0,20002,1,,1,0,20002,1479.999927,0.013131,,1,,21481.99993,21481.99993,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_13,1520.000038,0.009554,,2432,,7916,,0.001,,0,30002,0,,0,0,30002,1520.000038,0.081613,,1,,31522.00004,31522.00004,1,1,1,0,0,0,0,,0.071059,,1,0,,0.071059,,12,0,10,0,12,0,10,0,0.004,2,0.002
10_26,1479.999951,0.01058,,1875,,5870,,0.001,,0,30002,1,,1,0,30002,1479.999951,0.01158,,1,,31481.99995,31481.99995,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_27,1490.000063,0.009491,,1798,,5638,,0.001,,0,30002,1,,1,0,30002,1490.000063,0.010491,,1,,31492.00006,31492.00006,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_25,1630.000019,0.011986,,1409,,4092,,0.001,,0,30001,1,,1,0,30001,1630.000019,0.012986,,1,,31631.00002,31631.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
