Ins,LB.2nd.Stage,Time.LB,Avg.Time.LB,Num.Nodes,Avg.Nodes,Num.Arcs,Avg.Arcs,Time.Build.G1,Avg.Time.Build.G1,Time.Find.SP,ShortestPath.Cost,Solve optimally by Heu,Num.Ins.Opt.Heu,Kahn_Heu is feasible,Kahn_SP2 is feasible,Obj.MP,Obj.SP,Total.Time,Avg.Time,Num.LBBD.Iters,Avg.Iter,UB,currentLB,OP.Status,MP.Status,SP.Status,Gap,MP.gap,SP.gap,Total.Time.MP,Avg.T.Time.MP,Total.Time.SP,Avg.T.Time.SP,Num.SP-1.Solved,Avg.Time.MP,Avg.MP.Time,Avg.Time.SP,Avg.SP.Time,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood.Cuts,Avg.Num.Lazy1,Avg.Num.Lazy2,Avg.Num.Lazy3,Avg.Num.SP-No.Cuts,Time.Solve.SP2-S2,Num.SP-S2.Solved,Avg.Time.Solve.SP-S2
10_5,1600.000101,0.009062,0.010296133,1984,4019.5,5526,13942.53333,0.001,0.003033333,0,20003,1,29,0,1,20003,1600.000101,0.010062,0.019471867,1,1,21603.0001,21603.0001,1,1,1,0,0,0,0,0.0001,0,0.0060424,0,0,0.0001,0,0.0060424,0,0,0,0,0,0,0,0,0.002,1,0.002
10_4,1600.000101,0.009659,,4270,,14615,,0.003,,0,20004,1,,1,0,20004,1600.000101,0.012659,,1,,21604.0001,21604.0001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_2,1569.999965,0.009347,,3261,,10812,,0.002,,0,20004,1,,1,0,20004,1569.999965,0.011347,,1,,21573.99997,21573.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_3,1470.000015,0.010317,,2542,,8138,,0.001,,0,20003,1,,1,0,20003,1470.000015,0.011317,,1,,21473.00002,21473.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_1,1609.999961,0.010444,,921,,2335,,0,,0,20003,1,,1,0,20003,1609.999961,0.010444,,1,,21612.99996,21612.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_6,1479.999951,0.010077,,4317,,14506,,0.003,,0,30003,1,,1,0,30003,1479.999951,0.013077,,1,,31482.99995,31482.99995,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_14,1630.000019,0.011575,,3816,,13163,,0.003,,0,20004,1,,1,0,20004,1630.000019,0.014575,,1,,21634.00002,21634.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_8,1469.999915,0.009051,,2685,,8511,,0.002,,0,20003,1,,1,0,20003,1469.999915,0.011051,,1,,21472.99992,21472.99992,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_9,1200.000098,0.008177,,3898,,12483,,0.003,,0,30003,1,,0,1,30003,1200.000098,0.011177,,1,,31203.0001,31203.0001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_13,1489.999895,0.009716,,7200,,25932,,0.006,,0.001,20005,1,,1,0,20005,1489.999895,0.016716,,1,,21494.9999,21494.9999,1,1,1,0,0,0,0.001,,0,,0,0.001,,0,,0,0,0,0,0,0,0,0,0,0,0
10_12,1000,0.007444,,3750,,12865,,0.003,,0,20004,1,,1,0,20004,1000,0.010444,,1,,21004,21004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_11,1520.000038,0.010136,,3709,,12286,,0.003,,0,30003,1,,0,1,30003,1520.000038,0.013136,,1,,31523.00004,31523.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_10,1490.000063,0.01474,,3723,,12116,,0.002,,0,30003,0,,0,0,30003,1490.000063,0.198012,,1,,31493.00006,31493.00006,1,1,1,0,0,0,0,,0.181272,,1,0,,0.181272,,10,0,11,0,10,0,11,0,0.016,1,0.016
10_7,1489.999895,0.013134,,1992,,6030,,0.001,,0,30003,1,,0,1,30003,1489.999895,0.014134,,1,,31492.9999,31492.9999,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_22,1490.00001,0.00948,,7726,,30623,,0.007,,0.001,20006,1,,1,0,20006,1490.00001,0.01748,,1,,21496.00001,21496.00001,1,1,1,0,0,0,0.001,,0,,0,0.001,,0,,0,0,0,0,0,0,0,0,0,0,0
10_17,1510.00001,0.009607,,5811,,21317,,0.005,,0,20005,1,,1,0,20005,1510.00001,0.014607,,1,,21515.00001,21515.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_16,1609.999961,0.010393,,3750,,12865,,0.003,,0,20004,1,,1,0,20004,1609.999961,0.013393,,1,,21613.99996,21613.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_20,1469.999966,0.011221,,1509,,4084,,0.001,,0,30002,1,,1,0,30002,1469.999966,0.012221,,1,,31471.99997,31471.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_18,1609.999961,0.01047,,3459,,11455,,0.002,,0,20004,1,,1,0,20004,1609.999961,0.01247,,1,,21613.99996,21613.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_15,1470.000015,0.009337,,2590,,8340,,0.002,,0,20003,1,,0,1,20003,1470.000015,0.011337,,1,,21473.00002,21473.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
