Ins,LB.2nd.Stage,Time.LB,Avg.Time.LB,Num.Nodes,Avg.Nodes,Num.Arcs,Avg.Arcs,Time.Build.G1,Avg.Time.Build.G1,Time.Find.SP,ShortestPath.Cost,Solve optimally by Heu,Num.Ins.Opt.Heu,Kahn_Heu is feasible,Kahn_SP2 is feasible,Obj.MP,Obj.SP,Total.Time,Avg.Time,Num.LBBD.Iters,Avg.Iter,UB,currentLB,OP.Status,MP.Status,SP.Status,Gap,MP.gap,SP.gap,Total.Time.MP,Avg.T.Time.MP,Total.Time.SP,Avg.T.Time.SP,Num.SP-1.Solved,Avg.Time.MP,Avg.MP.Time,Avg.Time.SP,Avg.SP.Time,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood.Cuts,Avg.Num.Lazy1,Avg.Num.Lazy2,Avg.Num.Lazy3,Avg.Num.SP-No.Cuts,Time.Solve.SP2-S2,Num.SP-S2.Solved,Avg.Time.Solve.SP-S2
10_4,1600.000101,0.00881,0.010601433,5398,2536.866667,19929,8041.433333,0.004,0.001433333,0,20005,1,24,1,0,20005,1600.000101,0.01281,0.0336534,1,1,21605.0001,21605.0001,1,1,1,0,0,0,0,0,0,0.021618633,0,0,0,0,0.021618633,0,0,0,0,0,0,0,0,0,0,0
10_6,1490.000002,0.009523,,2031,,6042,,0.001,,0,20003,0,,0,0,20003,1490.000002,0.056985,,1,,21493,21493,1,1,1,0,0,0,0,,0.046462,,1,0,,0.046462,,9,1,4,0,9,1,4,0,0.001,1,0.001
10_1,1490.00001,0.015953,,1338,,3719,,0,,0,20002,1,,1,0,20002,1490.00001,0.015953,,1,,21492.00001,21492.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_2,1469.999915,0.008382,,1803,,5366,,0.001,,0,20003,1,,0,1,20003,1469.999915,0.009382,,1,,21472.99992,21472.99992,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_9,1630.000019,0.011627,,3934,,13549,,0.003,,0,20004,1,,1,0,20004,1630.000019,0.014627,,1,,21634.00002,21634.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_8,1609.999961,0.011086,,2205,,6806,,0.001,,0,20003,1,,1,0,20003,1609.999961,0.012086,,1,,21612.99996,21612.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_7,1520.000008,0.009522,,1023,,2701,,0,,0,20002,1,,1,0,20002,1520.000008,0.009522,,1,,21522.00001,21522.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_3,1520.000038,0.009773,,3532,,11767,,0.002,,0,30003,1,,1,0,30003,1520.000038,0.011773,,1,,31523.00004,31523.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_10,1599.99997,0.01178,,2179,,6484,,0.001,,0,20003,0,,0,0,20003,1599.99997,0.100161,,1,,21602.99997,21602.99997,1,1,1,0,0,0,0,,0.087381,,1,0,,0.087381,,0,1,15,3,0,1,15,3,0.02,6,0.003333
10_5,1469.999966,0.010954,,2562,,7831,,0.001,,0,30002,0,,0,0,30002,1469.999966,0.206414,,1,,31471.99997,31471.99997,1,1,1,0,0,0,0,,0.19446,,1,0,,0.19446,,13,1,12,0,13,1,12,0,0.016,2,0.008
