Ins,Iter,UB,LB,Time.MP,MP.Status,Obj.MP,MP.theta,MP.F1F2,MP.gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
Ins,Iter,UB,LB,Time.MP,MP.Status,Obj.MP,MP.theta,MP.F1F2,MP.gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
Ins,Iter,UB,LB,Time.MP,MP.Status,Obj.MP,MP.theta,MP.F1F2,MP.gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
Ins,Iter,UB,LB,Time.MP,MP.Status,Obj.MP,MP.theta,MP.F1F2,MP.gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
Ins,Iter,UB,LB,Time.MP,MP.Status,Obj.MP,MP.theta,MP.F1F2,MP.gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
10_20,1,30001.000000,31570.999965,0.710904,1,31570.999965,1569.999965,30001.000000,0.000000,0.000000,1,0.000000,0,0,0,0,0,0,0.000000,0.000000,1,1,0,0
10_2,1,20001.000000,21601.000033,0.037480,1,21601.000033,1600.000033,20001.000000,0.000000,0.000000,1,0.000000,0,0,0,0,0,0,0.000000,0.000000,1,1,0,0
10_6,1,20003.000000,21482.999927,0.341038,1,21482.999927,1479.999927,20003.000000,0.000000,0.000000,1,0.000000,0,0,0,0,0,0,0.000000,0.000000,1,1,0,0
10_11,1,30002.000000,31641.999995,0.422361,1,31641.999995,1639.999995,30002.000000,0.000000,0.000000,1,0.000000,0,0,0,0,0,0,0.000000,0.000000,1,1,0,0
10_28,1,20001.000000,21490.999895,0.505571,1,21490.999895,1489.999895,20001.000000,0.000000,0.000000,1,0.000000,0,0,0,0,0,0,0.000000,0.000000,1,1,0,0
