Ins,LB.2nd.Stage,Time.LB,Avg.Time.LB,Num.Nodes,Avg.Nodes,Num.Arcs,Avg.Arcs,Time.Build.G1,Avg.Time.Build.G1,Time.Find.SP,ShortestPath.Cost,Solve optimally by Heu,Num.Ins.Opt.Heu,Kahn_Heu is feasible,Kahn_SP2 is feasible,Obj.MP,Obj.SP,Total.Time,Avg.Time,Num.LBBD.Iters,Avg.Iter,UB,currentLB,OP.Status,MP.Status,SP.Status,Gap,MP.gap,SP.gap,Total.Time.MP,Avg.T.Time.MP,Total.Time.SP,Avg.T.Time.SP,Num.SP-1.Solved,Avg.Time.MP,Avg.MP.Time,Avg.Time.SP,Avg.SP.Time,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood.Cuts,Avg.Num.Lazy1,Avg.Num.Lazy2,Avg.Num.Lazy3,Avg.Num.SP-No.Cuts,Time.Solve.SP2-S2,Num.SP-S2.Solved,Avg.Time.Solve.SP-S2
10_1,2389.99982,0.024761,0.016819267,1252,1474.6,3395,4254.733333,0,0.0005,0,20002,1,22,1,0,20002,2389.99982,0.024761,0.104924967,1,1,22391.99982,22391.99982,1,1,1,0,0,0,0,0,0,0.0876057,0,0,0,0,0.0876057,0,0,0,0,0,0,0,0,0,0,0
10_2,2019.999836,0.014261,,1561,,4450,,0.001,,0,20002,0,,0,0,20002,2019.999439,0.158429,,1,,22021.99944,22021.99984,1,1,1,0,0,0,0,,0.143168,,1,0,,0.143168,,3,1,18,0,3,1,18,0,0.005,3,0.001667
10_3,1529.999955,0.015201,,2197,,6806,,0.001,,0,20003,1,,1,0,20003,1529.999955,0.016201,,1,,21532.99996,21532.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_7,2559.999868,0.016231,,1561,,4450,,0.001,,0,20002,1,,0,1,20002,2559.999868,0.017231,,1,,22561.99987,22561.99987,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.013,1,0.013
10_6,2429.999692,0.01567,,673,,1618,,0,,0,20001,1,,0,1,20001,2429.999692,0.01567,,1,,22430.99969,22430.99969,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_5,2200.000025,0.014998,,1580,,4519,,0.001,,0,20002,1,,1,0,20002,2200.000025,0.015998,,1,,22202.00003,22202.00003,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_8,2459.999961,0.01642,,673,,1618,,0,,0,20001,1,,1,0,20001,2459.999961,0.01642,,1,,22460.99996,22460.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_9,2469.999984,0.021271,,2267,,7086,,0.001,,0,20003,1,,1,0,20003,2469.999984,0.022271,,1,,22472.99998,22472.99998,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_4,2399.999686,0.01741,,2239,,6978,,0.001,,0,20003,1,,1,0,20003,2399.999686,0.01841,,1,,22402.99969,22402.99969,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_13,1789.999907,0.013573,,1252,,3395,,0,,0,20002,0,,0,0,20002,1789.999907,0.20051,,1,,21791.99991,21791.99991,1,1,1,0,0,0,0,,0.186937,,1,0,,0.186937,,7,0,2,0,7,0,2,0,0.003,2,0.0015
10_14,2399.999686,0.016421,,872,,2162,,0,,0,30001,0,,0,0,30001,2399.999686,0.809258,,1,,32400.99969,32400.99969,1,1,1,0,0,0,0,,0.792837,,1,0,,0.792837,,30,0,10,5,30,0,10,5,0.056,7,0.008
10_12,1909.999778,0.014735,,1561,,4450,,0.001,,0,20002,1,,1,0,20002,1909.999778,0.015735,,1,,21911.99978,21911.99978,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_16,1819.999783,0.01417,,760,,1785,,0,,0,30001,1,,1,0,30001,1819.999783,0.01417,,1,,31820.99978,31820.99978,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_11,2070.000044,0.015945,,1272,,3461,,0,,0,30001,1,,0,1,30001,2070.000044,0.015945,,1,,32071.00004,32071.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_10,1619.999897,0.012388,,1338,,3719,,0,,0,20002,1,,1,0,20002,1619.999897,0.012388,,1,,21621.9999,21621.9999,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_15,2379.99976,0.021427,,2267,,7086,,0.001,,0,20003,0,,0,0,20003,2379.999476,0.201587,,1,,22382.99948,22382.99976,1,1,1,0,0,0,0,,0.17916,,1,0,,0.17916,,23,0,2,3,23,0,2,3,0.046,7,0.006571
10_19,2390.000061,0.017795,,1561,,4450,,0.001,,0,20002,1,,1,0,20002,2390.000061,0.018795,,1,,22392.00006,22392.00006,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_18,1479.999901,0.014198,,1580,,4519,,0.001,,0,20002,1,,1,0,20002,1479.999901,0.015198,,1,,21481.9999,21481.9999,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_20,2399.999719,0.016533,,1252,,3395,,0,,0,20002,0,,0,0,20002,2399.999698,0.295624,,1,,22401.9997,22401.99972,1,1,1,0,0,0,0,,0.279091,,1,0,,0.279091,,9,1,16,0,9,1,16,0,0.004,2,0.002
10_22,2399.99963,0.018106,,1580,,4519,,0.001,,0,20002,1,,1,0,20002,2399.99963,0.019106,,1,,22401.99963,22401.99963,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_21,2119.999819,0.017158,,1345,,3695,,0,,0,20002,0,,0,0,20002,2119.999798,0.444059,,1,,22121.9998,22121.99982,1,1,1,0,0,0,0,,0.426901,,1,0,,0.426901,,22,2,12,0,22,2,12,0,0.003,2,0.0015
10_23,2399.999677,0.016977,,565,,1256,,0,,0,30001,1,,1,0,30001,2399.999677,0.016977,,1,,32400.99968,32400.99968,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
