Ins,LB.2nd.Stage,Time.LB,Avg.Time.LB,Num.Nodes,Avg.Nodes,Num.Arcs,Avg.Arcs,Time.Build.G1,Avg.Time.Build.G1,Time.Find.SP,ShortestPath.Cost,Solve optimally by Heu,Num.Ins.Opt.Heu,Kahn_Heu is feasible,Kahn_SP2 is feasible,Obj.MP,Obj.SP,Total.Time,Avg.Time,Num.LBBD.Iters,Avg.Iter,UB,currentLB,OP.Status,MP.Status,SP.Status,Gap,MP.gap,SP.gap,Total.Time.MP,Avg.T.Time.MP,Total.Time.SP,Avg.T.Time.SP,Num.SP-1.Solved,Avg.Time.MP,Avg.MP.Time,Avg.Time.SP,Avg.SP.Time,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood.Cuts,Avg.Num.Lazy1,Avg.Num.Lazy2,Avg.Num.Lazy3,Avg.Num.SP-No.Cuts,Time.Solve.SP2-S2,Num.SP-S2.Solved,Avg.Time.Solve.SP-S2
10_9,2729.999795,0.030416,0.030732467,1146,1454.5,3007,4175.266667,0,0.000433333,0,20002,0,24,0,0,20002,2729.999795,0.978823,0.203683367,1,1.033333333,22731.9998,22731.9998,1,1,1,0,0,0,0,3.33E-05,0.948407,0.172484233,1,0,1.67E-05,0.948407,0.146006433,2,0,6,0,2,0,6,0,0.023,5,0.0046
10_1,2490.000012,0.02277,,1026,,2524,,0,,0,20001,1,,0,1,20001,2490.000012,0.02277,,1,,22491.00001,22491.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_8,2669.999629,0.036342,,1272,,3461,,0,,0,30001,1,,0,1,30001,2669.999629,0.036342,,1,,32670.99963,32670.99963,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_10,2629.99981,0.030496,,2197,,6806,,0.001,,0,20003,0,,0,0,20003,2629.999846,0.575499,,1,,22632.99985,22632.99981,1,1,1,0,0,0,0,,0.544003,,1,0,,0.544003,,2,2,25,0,2,2,25,0,0.024,8,0.003
10_5,2159.999618,0.016965,,2239,,6978,,0.001,,0,20003,1,,1,0,20003,2159.999618,0.017965,,1,,22162.99962,22162.99962,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_7,2600.000148,0.023332,,1810,,5346,,0.001,,0,20002,1,,1,0,20002,2600.000148,0.024332,,1,,22602.00015,22602.00015,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_6,2829.999921,0.024926,,1146,,3007,,0,,0,20002,0,,0,0,20002,2829.999921,0.422786,,1,,22831.99992,22831.99992,1,1,1,0,0,0,0,,0.39786,,1,0,,0.39786,,5,0,11,2,5,0,11,2,0.051,5,0.0102
10_2,2629.99981,0.036193,,644,,1487,,0,,0,30001,0,,0,0,30001,2629.999846,0.976038,,1,,32630.99985,32630.99981,1,1,1,0,0,0,0,,0.939845,,1,0,,0.939845,,6,0,39,0,6,0,39,0,0.034,6,0.005667
10_4,2569.999909,0.033095,,2542,,8138,,0.002,,0,20003,1,,1,0,20003,2569.999909,1.624762,,2,,22572.99991,22572.99991,1,1,1,0,0,0,0.001,,1.588667,,1,0.0005,,0.794333,,97,1,336,2,48,0,168,1,0.084,12,0.007
10_3,2519.99979,0.023903,,1272,,3461,,0,,0,30001,1,,0,1,30001,2519.99979,0.023903,,1,,32520.99979,32520.99979,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.001,1,0.001
10_13,2719.99962,0.042524,,1190,,3266,,0,,0,20002,1,,1,0,20002,2719.99962,0.042524,,1,,22721.99962,22721.99962,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_15,2079.999933,0.017361,,2197,,6806,,0.001,,0,20003,1,,1,0,20003,2079.999933,0.018361,,1,,22082.99993,22082.99993,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_17,2559.999844,0.021692,,1345,,3695,,0,,0,20002,1,,1,0,20002,2559.999844,0.021692,,1,,22561.99984,22561.99984,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_11,2539.999541,0.031661,,1272,,3461,,0,,0,30001,1,,0,1,30001,2539.999541,0.031661,,1,,32540.99954,32540.99954,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_16,2290.000001,0.116357,,2197,,6806,,0.001,,0,20003,1,,1,0,20003,2290.000001,0.117357,,1,,22293,22293,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_12,2609.999927,0.023826,,1252,,3395,,0,,0,20002,1,,1,0,20002,2609.999927,0.023826,,1,,22611.99993,22611.99993,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_20,1720.000027,0.020607,,729,,1648,,0,,0,20001,1,,1,0,20001,1720.000027,0.020607,,1,,21721.00003,21721.00003,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
