Ins,LB.2nd.Stage,Time.LB,Avg.Time.LB,Num.Nodes,Avg.Nodes,Num.Arcs,Avg.Arcs,Time.Build.G1,Avg.Time.Build.G1,Time.Find.SP,ShortestPath.Cost,Solve optimally by Heu,Num.Ins.Opt.Heu,Kahn_Heu is feasible,Kahn_SP2 is feasible,Obj.MP,Obj.SP,Total.Time,Avg.Time,Num.LBBD.Iters,Avg.Iter,UB,currentLB,OP.Status,MP.Status,SP.Status,Gap,MP.gap,SP.gap,Total.Time.MP,Avg.T.Time.MP,Total.Time.SP,Avg.T.Time.SP,Num.SP-1.Solved,Avg.Time.MP,Avg.MP.Time,Avg.Time.SP,Avg.SP.Time,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood.Cuts,Avg.Num.Lazy1,Avg.Num.Lazy2,Avg.Num.Lazy3,Avg.Num.SP-No.Cuts,Time.Solve.SP2-S2,Num.SP-S2.Solved,Avg.Time.Solve.SP-S2
10_2,2140.000056,0.016753,0.016324267,1345,1452,3695,4137.1,0,0.000466667,0,20002,0,23,0,0,20002,2139.999579,0.13151,0.064234333,1,1,22141.99958,22142.00006,1,1,1,0,0,0,0,0,0.114757,0.0474434,1,0,0,0.114757,0.0474434,1,0,8,0,1,0,8,0,0.003,2,0.0015
10_3,1470.000105,0.012418,,2267,,7086,,0.001,,0,20003,1,,1,0,20003,1470.000105,0.013418,,1,,21473.00011,21473.00011,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_4,2140.000056,0.023038,,1438,,3974,,0.001,,0,30001,1,,1,0,30001,2140.000056,0.024038,,1,,32141.00006,32141.00006,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_1,1979.999737,0.016599,,2267,,7086,,0.001,,0,20003,0,,0,0,20003,1979.999794,0.129436,,1,,21982.99979,21982.99974,1,1,1,0,0,0,0,,0.111837,,1,0,,0.111837,,11,0,11,0,11,0,11,0,0.002,1,0.002
10_6,2200.000013,0.013286,,2197,,6806,,0.001,,0,20003,0,,0,0,20003,2199.999996,0.099492,,1,,22203,22203.00001,1,1,1,0,0,0,0,,0.085206,,1,0,,0.085206,,3,0,13,0,3,0,13,0,0.007,3,0.002333
10_7,1999.999978,0.012904,,701,,1680,,0,,0,20001,1,,1,0,20001,1999.999978,0.012904,,1,,22000.99998,22000.99998,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_5,2080.000037,0.016182,,986,,2514,,0,,0,30001,1,,1,0,30001,2080.000037,0.016182,,1,,32081.00004,32081.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_9,2399.999827,0.017422,,2197,,6806,,0.001,,0,20003,1,,1,0,20003,2399.999827,0.018422,,1,,22402.99983,22402.99983,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_8,2099.999428,0.015707,,595,,1352,,0,,0,20001,1,,1,0,20001,2099.999428,0.015707,,1,,22100.99943,22100.99943,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_10,2019.999966,0.015029,,921,,2335,,0,,0,20001,1,,1,0,20001,2019.999966,0.015029,,1,,22020.99997,22020.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
