Ins,Iter,UB,currentLB,Time.MP,MP.Status,Obj.MP,MP.Gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
Ins,Iter,UB,currentLB,Time.MP,MP.Status,Obj.MP,MP.Gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
Ins,Iter,UB,currentLB,Time.MP,MP.Status,Obj.MP,MP.Gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
30_1,1,76252.000252,76252.000252,0.303000,1,70002.000000,0.000000,0.000000,1,6250.000252,0.000000,0,0,0,0,1,0.096000,0.096000,1,1,
30_3,1,66811.000344,66444.333432,0.255000,1,60001.000000,0.000000,5.563019,1,6810.000344,0.000000,763,2,25,1,2,0.303000,0.151500,436,1,
 ,2,66444.333432,66444.333432,1.798000,1,60001.000000,0.000000,0.001000,1,6443.333432,0.000000,0,0,0,0,0,0.000000,0,1,1,
30_2,1,66471.999788,66472.000421,0.208000,1,60002.000000,0.000000,15.357661,1,6469.999788,0.000000,2170,9,132,1,2,0.811000,0.405500,1524,1,
Ins,Iter,UB,currentLB,Time.MP,MP.Status,Obj.MP,MP.Gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
Ins,Iter,UB,currentLB,Time.MP,MP.Status,Obj.MP,MP.Gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
30_5,1,66191.000691,66191.000691,0.258000,1,60001.000000,0.000000,0.000000,1,6190.000691,0.000000,0,0,0,0,0,0.000000,0,1,1,
30_4,1,76454.332375,76454.332375,0.480000,1,70001.000000,0.000000,0.000000,1,6453.332375,0.000000,0,0,0,0,0,0.000000,0,1,1,
Ins,Iter,UB,currentLB,Time.MP,MP.Status,Obj.MP,MP.Gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
Ins,Iter,UB,currentLB,Time.MP,MP.Status,Obj.MP,MP.Gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
30_7,1,66375.332493,66375.332469,0.171000,1,60002.000000,0.000000,9.173269,1,6373.332493,0.000000,478,1,117,3,6,0.838000,0.139667,446,3,
30_6,1,66564.332613,66564.332613,0.342000,1,60001.000000,0.000000,18.799808,1,6563.332613,0.000000,2669,8,278,47,48,5.279000,0.109979,2178,1,
Ins,Iter,UB,currentLB,Time.MP,MP.Status,Obj.MP,MP.Gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
Ins,Iter,UB,currentLB,Time.MP,MP.Status,Obj.MP,MP.Gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
Ins,Iter,UB,currentLB,Time.MP,MP.Status,Obj.MP,MP.Gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
Ins,Iter,UB,currentLB,Time.MP,MP.Status,Obj.MP,MP.Gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
Ins,Iter,UB,currentLB,Time.MP,MP.Status,Obj.MP,MP.Gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
Ins,Iter,UB,currentLB,Time.MP,MP.Status,Obj.MP,MP.Gap,Time.SP,SP.Status,Obj.SP,SP.Gap,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood,Num.SP-S2.solved,Time.Solve.SP-S2,Avg.Time.SolveSP2,Num.IntegerSol.Found,Num.FeasibleSol.Found,Num.lazy3.added,Num.reduced.lazy3.added
30_9,1,76564.332613,76564.332613,0.303000,1,70001.000000,0.000000,0.000000,1,6563.332613,0.000000,0,0,0,0,1,0.096000,0.096000,1,1,
30_11,1,66037.667135,66037.667135,0.221000,1,60001.000000,0.000000,0.000000,1,6036.667135,0.000000,0,0,0,0,1,0.095000,0.095000,1,1,
30_13,1,66374.332475,66374.332475,0.337000,1,60001.000000,0.000000,0.000000,1,6373.332475,0.000000,0,0,0,0,1,0.095000,0.095000,1,1,
30_10,1,76280.999780,76280.999942,0.298000,1,70001.000000,0.000000,11.045883,1,6279.999780,0.000000,942,4,26,2,3,0.332000,0.110667,646,1,
30_12,1,56351.999476,56351.999484,0.335000,1,50002.000000,0.000000,27.861096,1,6349.999476,0.000000,2741,13,450,7,10,1.616000,0.161600,2350,3,
30_8,1,66626.332947,66366.332957,0.200000,1,60003.000000,0.000000,39.832178,1,6623.332947,0.000000,6352,14,546,34,36,4.425000,0.122917,5532,2,
 ,2,66366.332766,66366.332957,1.192000,1,60003.000000,0.000000,4.246070,1,6363.332766,0.000000,246,4,144,4,5,0.570000,0.114000,376,1,
