Ins,LB.2nd.Stage,Time.LB,Avg.Time.LB,Num.Nodes,Avg.Nodes,Num.Arcs,Avg.Arcs,Time.Build.G1,Avg.Time.Build.G1,Time.Find.SP,ShortestPath.Cost,Solve optimally by Heu,Num.Ins.Opt.Heu,Kahn_Heu is feasible,Kahn_SP2 is feasible,Obj.MP,Obj.SP,Total.Cost,Avg.Cost,Total.Time,Avg.Time,Num.LBBD.Iters,Avg.Iter,UB,currentLB,OP.Status,MP.Status,SP.Status,Gap,MP.gap,SP.gap,Total.Time.MP,Avg.T.Time.MP,Total.Time.SP,Avg.T.Time.SP,Num.SP-1.Solved,Avg.Time.MP,Avg.MP.Time,Avg.Time.SP,Avg.SP.Time,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood.Cuts,Avg.Num.Lazy1,Avg.Num.Lazy2,Avg.Num.Lazy3,Avg.Num.SP-No.Cuts,Time.Solve.SP2-S2,Num.SP-S2.Solved,Avg.Time.Solve.SP-S2
10_5,1569.999965,0.016161,0.013231933,1803,1215.2,5366,3339.833333,0.001,0.000333333,0,20003,1,28,0,1,20003,1569.999965,21572.99997,24126.99997,0.017161,0.0172082,1,1,21572.99997,21572.99997,1,1,1,0,0,0,0,0,0,0.003642933,0,0,0,0,0.003642933,0,0,0,0,0,0,0,0,0.013,1,0.013
10_6,1630.000019,0.016913,,921,,2335,,0,,0,20001,1,,1,0,20001,1630.000019,21631.00002,,0.016913,,1,,21631.00002,21631.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_8,749.999678,0.01375,,601,,1415,,0,,0,20001,1,,1,0,20001,749.999678,20750.99968,,0.01375,,1,,20750.99968,20750.99968,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_7,1479.999951,0.014458,,1325,,3606,,0,,0,30001,0,,0,0,30001,1479.999951,31480.99995,,0.073327,,1,,31480.99995,31480.99995,1,1,1,0,0,0,0,,0.058869,,1,0,,0.058869,,0,2,6,1,0,2,6,1,0.008,3,0.002667
10_3,720.000118,0.020889,,2197,,6806,,0.001,,0,20003,1,,1,0,20003,720.000118,20723.00012,,0.021889,,1,,20723.00012,20723.00012,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_4,1469.999915,0.014361,,1677,,4824,,0.001,,0,20002,1,,1,0,20002,1469.999915,21471.99992,,0.015361,,1,,21471.99992,21471.99992,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_9,1630.000019,0.018813,,986,,2514,,0,,0,30001,1,,1,0,30001,1630.000019,31631.00002,,0.018813,,1,,31631.00002,31631.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_10,1600.000101,0.016091,,1190,,3266,,0,,0,20002,1,,1,0,20002,1600.000101,21602.0001,,0.016091,,1,,21602.0001,21602.0001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_2,1560.000014,0.015319,,1296,,3567,,0,,0,20002,1,,0,1,20002,1560.000014,21562.00001,,0.015319,,1,,21562.00001,21562.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_1,1489.999895,0.012712,,1296,,3567,,0,,0,20002,1,,1,0,20002,1489.999895,21491.9999,,0.012712,,1,,21491.9999,21491.9999,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_11,1599.99997,0.011744,,1166,,3178,,0,,0,20002,1,,1,0,20002,1599.99997,21601.99997,,0.011744,,1,,21601.99997,21601.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_16,1539.99992,0.017842,,2197,,6806,,0.001,,0,20003,1,,1,0,20003,1539.99992,21542.99992,,0.018842,,1,,21542.99992,21542.99992,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_15,1520.000038,0.013712,,1338,,3719,,0,,0,20002,1,,1,0,20002,1520.000038,21522.00004,,0.013712,,1,,21522.00004,21522.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_13,1520.000008,0.009154,,701,,1680,,0,,0,20001,1,,1,0,20001,1520.000008,21521.00001,,0.009154,,1,,21521.00001,21521.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_18,1609.999961,0.01068,,1325,,3606,,0.001,,0,30001,1,,1,0,30001,1609.999961,31610.99996,,0.01168,,1,,31610.99996,31610.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
