Ins,LB.2nd.Stage,Time.LB,Avg.Time.LB,Num.Nodes,Avg.Nodes,Num.Arcs,Avg.Arcs,Time.Build.G1,Avg.Time.Build.G1,Time.Find.SP,ShortestPath.Cost,Solve optimally by Heu,Num.Ins.Opt.Heu,Kahn_Heu is feasible,Kahn_SP2 is feasible,Obj.MP,Obj.SP,Total.Cost,Avg.Cost,Total.Time,Avg.Time,Num.LBBD.Iters,Avg.Iter,UB,currentLB,OP.Status,MP.Status,SP.Status,Gap,MP.gap,SP.gap,Total.Time.MP,Avg.T.Time.MP,Total.Time.SP,Avg.T.Time.SP,Num.SP-1.Solved,Avg.Time.MP,Avg.MP.Time,Avg.Time.SP,Avg.SP.Time,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood.Cuts,Avg.Num.Lazy1,Avg.Num.Lazy2,Avg.Num.Lazy3,Avg.Num.SP-No.Cuts,Time.Solve.SP2-S2,Num.SP-S2.Solved,Avg.Time.Solve.SP-S2
10_2,1560.000014,0.009021,0.013455233,1296,1223.766667,3567,3367.933333,0,0.000366667,0,20002,1,28,0,1,20002,1560.000014,21562.00001,21127.2333,0.009021,0.0291834,1,1,21562.00001,21562.00001,1,1,1,0,0,0,0,0,0,0.0153615,0,0,0,0,0.0153615,0,0,0,0,0,0,0,0,0.002,1,0.002
10_1,1489.999895,0.009992,,1296,,3567,,0,,0,20002,1,,1,0,20002,1489.999895,21491.9999,,0.009992,,1,,21491.9999,21491.9999,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_3,720.000118,0.013521,,2197,,6806,,0.001,,0,20003,1,,1,0,20003,720.000118,20723.00012,,0.014521,,1,,20723.00012,20723.00012,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_4,1469.999915,0.008485,,1677,,4824,,0.001,,0,20002,1,,1,0,20002,1469.999915,21471.99992,,0.009485,,1,,21471.99992,21471.99992,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_6,1630.000019,0.011118,,921,,2335,,0,,0,20001,1,,1,0,20001,1630.000019,21631.00002,,0.011118,,1,,21631.00002,21631.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_5,1569.999965,0.042259,,1803,,5366,,0.001,,0,20003,1,,0,1,20003,1569.999965,21572.99997,,0.043259,,1,,21572.99997,21572.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_8,749.999678,0.012955,,601,,1415,,0,,0,20001,1,,1,0,20001,749.999678,20750.99968,,0.012955,,1,,20750.99968,20750.99968,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_9,1630.000019,0.017175,,1016,,2605,,0,,0,20002,0,,0,0,20002,1630.000019,21632.00002,,0.427191,,1,,21632.00002,21632.00002,1,1,1,0,0,0,0,,0.410016,,1,0,,0.410016,,35,0,27,0,35,0,27,0,0.028,2,0.014
10_7,1479.999951,0.01862,,1355,,3709,,0,,0,20002,1,,1,0,20002,1479.999951,21481.99995,,0.01862,,1,,21481.99995,21481.99995,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_16,1539.99992,0.015873,,2197,,6806,,0.001,,0,20003,1,,1,0,20003,1539.99992,21542.99992,,0.016873,,1,,21542.99992,21542.99992,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_15,1520.000038,0.009449,,1338,,3719,,0,,0,20002,1,,1,0,20002,1520.000038,21522.00004,,0.009449,,1,,21522.00004,21522.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_18,1609.999961,0.011638,,1355,,3709,,0.001,,0,20002,1,,1,0,20002,1609.999961,21611.99996,,0.012638,,1,,21611.99996,21611.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_19,750,0.024297,,1016,,2605,,0,,0,20002,1,,1,0,20002,750,20752,,0.024297,,1,,20752,20752,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_10,1600.000101,0.00882,,1190,,3266,,0,,0,20002,1,,1,0,20002,1600.000101,21602.0001,,0.00882,,1,,21602.0001,21602.0001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_13,1520.000008,0.009509,,701,,1680,,0,,0,20001,1,,1,0,20001,1520.000008,21521.00001,,0.009509,,1,,21521.00001,21521.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_17,1600.000101,0.009841,,710,,1572,,0,,0,10002,1,,1,0,10002,1600.000101,11602.0001,,0.009841,,1,,11602.0001,11602.0001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_12,1479.999927,0.0182,,880,,2285,,0,,0,20002,1,,1,0,20002,1479.999927,21481.99993,,0.0182,,1,,21481.99993,21481.99993,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_14,1489.999895,0.009549,,457,,1009,,0,,0,20001,1,,1,0,20001,1489.999895,21490.9999,,0.009549,,1,,21490.9999,21490.9999,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_11,1599.99997,0.011129,,1166,,3178,,0.001,,0,20002,1,,1,0,20002,1599.99997,21601.99997,,0.012129,,1,,21601.99997,21601.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_26,1479.999927,0.00964,,1355,,3709,,0,,0,20002,1,,1,0,20002,1479.999927,21481.99993,,0.00964,,1,,21481.99993,21481.99993,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_22,1250,0.014001,,1355,,3709,,0,,0,20002,1,,1,0,20002,1250,21252,,0.014001,,1,,21252,21252,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
