Ins,LB.2nd.Stage,Time.LB,Avg.Time.LB,Num.Nodes,Avg.Nodes,Num.Arcs,Avg.Arcs,Time.Build.G1,Avg.Time.Build.G1,Time.Find.SP,ShortestPath.Cost,Solve optimally by Heu,Num.Ins.Opt.Heu,Kahn_Heu is feasible,Kahn_SP2 is feasible,Obj.MP,Obj.SP,Total.Cost,Avg.Cost,Total.Time,Avg.Time,Num.LBBD.Iters,Avg.Iter,UB,currentLB,OP.Status,MP.Status,SP.Status,Gap,MP.gap,SP.gap,Total.Time.MP,Avg.T.Time.MP,Total.Time.SP,Avg.T.Time.SP,Num.SP-1.Solved,Avg.Time.MP,Avg.MP.Time,Avg.Time.SP,Avg.SP.Time,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood.Cuts,Avg.Num.Lazy1,Avg.Num.Lazy2,Avg.Num.Lazy3,Avg.Num.SP-No.Cuts,Time.Solve.SP2-S2,Num.SP-S2.Solved,Avg.Time.Solve.SP-S2
10_10,1630.000019,0.011654,0.011745467,7652,2742.233333,33210,9784.433333,0.008,0.0019,0.001,40005,1,29,1,0,40005,1630.000019,41635.00002,36848.93332,0.020654,0.015198233,1,1,41635.00002,41635.00002,1,1,1,0,0,0,0.001,6.67E-05,0,0.0014861,0,0.001,6.67E-05,0,0.0014861,0,0,0,0,0,0,0,0,0,0,0
10_4,1479.999951,0.018729,,1677,,4824,,0.001,,0,20002,1,,1,0,20002,1479.999951,21481.99995,,0.019729,,1,,21481.99995,21481.99995,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_9,1520.000008,0.009637,,1662,,5072,,0.001,,0,30002,1,,1,0,30002,1520.000008,31522.00001,,0.010637,,1,,31522.00001,31522.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_2,1599.99997,0.011104,,1296,,3567,,0,,0,20002,1,,1,0,20002,1599.99997,21601.99997,,0.011104,,1,,21601.99997,21601.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_8,1479.999927,0.009496,,1662,,5072,,0.001,,0,30002,1,,1,0,30002,1479.999927,31481.99993,,0.010496,,1,,31481.99993,31481.99993,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_5,1479.999951,0.014822,,2712,,9535,,0.002,,0,40002,1,,0,1,40002,1479.999951,41481.99995,,0.016822,,1,,41481.99995,41481.99995,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_1,1559.99987,0.010315,,1966,,6156,,0.001,,0,30002,1,,1,0,30002,1559.99987,31561.99987,,0.011315,,1,,31561.99987,31561.99987,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_6,750.000036,0.009199,,2712,,9535,,0.002,,0,40002,1,,1,0,40002,750.000036,40752.00004,,0.011199,,1,,40752.00004,40752.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_3,1630.000019,0.012497,,3909,,14796,,0.003,,0,40003,1,,1,0,40003,1630.000019,41633.00002,,0.015497,,1,,41633.00002,41633.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_7,1630.000019,0.011647,,1390,,4318,,0.001,,0,40001,1,,1,0,40001,1630.000019,41631.00002,,0.012647,,1,,41631.00002,41631.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_14,1529.999955,0.021098,,2823,,9602,,0.002,,0,30003,1,,1,0,30003,1529.999955,31532.99996,,0.023098,,1,,31532.99996,31532.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_20,1600.000101,0.009482,,2036,,6436,,0.001,,0,30002,1,,1,0,30002,1600.000101,31602.0001,,0.010482,,1,,31602.0001,31602.0001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_12,1519.999863,0.011082,,2512,,8626,,0.002,,0,40002,1,,1,0,40002,1519.999863,41521.99986,,0.013082,,1,,41521.99986,41521.99986,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_16,1600.000101,0.00871,,2712,,9535,,0.001,,0,40002,1,,1,0,40002,1600.000101,41602.0001,,0.00971,,1,,41602.0001,41602.0001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_17,1479.999951,0.01157,,3909,,14796,,0.003,,0,40003,1,,1,0,40003,1479.999951,41482.99995,,0.01457,,1,,41482.99995,41482.99995,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_15,1520.000038,0.009639,,2635,,9052,,0.002,,0,40002,1,,1,0,40002,1520.000038,41522.00004,,0.011639,,1,,41522.00004,41522.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_11,1469.999966,0.011176,,1934,,5826,,0.001,,0,20003,0,,0,0,20003,1469.999966,21472.99997,,0.056759,,1,,21472.99997,21472.99997,1,1,1,0,0,0,0,,0.044583,,1,0,,0.044583,,5,1,3,0,5,1,3,0,0.003,2,0.0015
10_19,1599.99997,0.02196,,1896,,6072,,0.001,,0,40001,1,,1,0,40001,1599.99997,41600.99997,,0.02296,,1,,41600.99997,41600.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_18,1469.999966,0.011902,,2851,,10029,,0.002,,0,40002,1,,1,0,40002,1469.999966,41471.99997,,0.013902,,1,,41471.99997,41471.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_13,1479.999927,0.010429,,4096,,15522,,0.003,,0,40003,1,,0,1,40003,1479.999927,41482.99993,,0.013429,,1,,41482.99993,41482.99993,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.013,1,0.013
10_22,1559.999785,0.011053,,4186,,15958,,0.003,,0,40003,1,,0,1,40003,1559.999785,41562.99979,,0.014053,,1,,41562.99979,41562.99979,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.013,1,0.013
10_21,1630.000019,0.011278,,3613,,13388,,0.003,,0,40003,1,,1,0,40003,1630.000019,41633.00002,,0.014278,,1,,41633.00002,41633.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_25,1490.000063,0.008759,,1889,,5924,,0.001,,0,30002,1,,1,0,30002,1490.000063,31492.00006,,0.009759,,1,,31492.00006,31492.00006,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_27,1469.999966,0.010989,,1301,,4000,,0,,0,40001,1,,1,0,40001,1469.999966,41470.99997,,0.010989,,1,,41470.99997,41470.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_28,1639.999995,0.009047,,4096,,15522,,0.003,,0,40003,1,,0,1,40003,1639.999995,41643,,0.012047,,1,,41643,41643,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_23,1520.000038,0.010353,,1567,,4988,,0.001,,0,40001,1,,1,0,40001,1520.000038,41521.00004,,0.011353,,1,,41521.00004,41521.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_24,1470.000015,0.006954,,1293,,3718,,0,,0,30001,1,,0,1,30001,1470.000015,31471.00002,,0.006954,,1,,31471.00002,31471.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.001,1,0.001
10_26,1470.000044,0.011825,,5602,,22763,,0.005,,0.001,40004,1,,1,0,40004,1470.000044,41474.00004,,0.017825,,1,,41474.00004,41474.00004,1,1,1,0,0,0,0.001,,0,,0,0.001,,0,,0,0,0,0,0,0,0,0,0,0,0
10_30,1630.000019,0.016936,,1966,,6156,,0.001,,0,30002,1,,1,0,30002,1630.000019,31632.00002,,0.017936,,1,,31632.00002,31632.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_29,1490.000063,0.009022,,2712,,9535,,0.002,,0,40002,1,,1,0,40002,1490.000063,41492.00006,,0.011022,,1,,41492.00006,41492.00006,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
15_4,2279.999909,0.018329,0.0139344,32326,38954.83333,144823,182444.5667,0.042,0.0545,0.009,40003,1,21,1,0,40003,2279.999909,42282.99991,39969.71099,0.069329,0.3037622,1,1.133333333,42282.99991,42282.99991,1,1,1,0,0,0,0.009,0.047366667,0,0.187961133,0,0.009,0.025122233,0,0.142940133,0,0,0,0,0,0,0,0,0,0,0
15_1,2279.999822,0.013136,,37229,,170347,,0.05,,0.013,40003,1,,1,0,40003,2279.999822,42282.99982,,0.076136,,1,,42282.99982,42282.99982,1,1,1,0,0,0,0.013,,0,,0,0.013,,0,,0,0,0,0,0,0,0,0,0,0,0
15_5,2279.999822,0.012216,,60190,,297910,,0.09,,0.021,40004,0,,0,0,40004,2279.999822,42283.99982,,0.236799,,1,,42283.99982,42283.99982,1,1,1,0,0,0,0.021,,0.113583,,1,0.021,,0.113583,,22,1,5,0,22,1,5,0,0.007,1,0.007
15_6,2286.666551,0.011683,,47534,,221391,,0.066,,0.016,30004,0,,0,0,30004,2286.666551,32290.66655,,0.655818,,1,,32290.66655,32290.66655,1,1,1,0,0,0,0.016,,0.562135,,1,0.016,,0.562135,,20,5,6,0,20,5,6,0,0.071,1,0.071
15_2,2253.333169,0.011632,,21460,,92737,,0.025,,0.005,40003,1,,1,0,40003,2253.333169,42256.33317,,0.041632,,1,,42256.33317,42256.33317,1,1,1,0,0,0,0.005,,0,,0,0.005,,0,,0,0,0,0,0,0,0,0,0,0,0
15_7,2239.999905,0.011986,,28627,,127291,,0.036,,0.008,40003,1,,1,0,40003,2239.999905,42242.99991,,0.055986,,1,,42242.99991,42242.99991,1,1,1,0,0,0,0.008,,0,,0,0.008,,0,,0,0,0,0,0,0,0,0,0,0,0
15_3,2439.999872,0.029934,,19954,,80053,,0.024,,0.004,30003,1,,0,1,30003,2439.999872,32442.99987,,0.057934,,1,,32442.99987,32442.99987,1,1,1,0,0,0,0.004,,0,,0,0.004,,0,,0,0,0,0,0,0,0,0,0.019,1,0.019
15_11,2306.666443,0.015462,,17623,,70169,,0.019,,0.004,40002,1,,0,1,40002,2306.666443,42308.66644,,0.038462,,1,,42308.66644,42308.66644,1,1,1,0,0,0,0.004,,0,,0,0.004,,0,,0,0,0,0,0,0,0,0,0.007,1,0.007
15_8,2439.999872,0.014602,,20772,,84054,,0.024,,0.005,30003,1,,1,0,30003,2439.999872,32442.99987,,0.043602,,1,,32442.99987,32442.99987,1,1,1,0,0,0,0.005,,0,,0,0.005,,0,,0,0,0,0,0,0,0,0,0,0,0
15_13,2279.999909,0.011353,,41101,,187009,,0.056,,0.013,30004,0,,0,0,30004,2279.999897,32283.9999,,0.232096,,1,,32283.9999,32283.99991,1,1,1,0,0,0,0.013,,0.151743,,1,0.013,,0.151743,,17,0,5,0,17,0,5,0,0.026,2,0.013
15_15,2239.999905,0.011567,,43012,,201421,,0.06,,0.019,40003,0,,0,0,40003,2239.999905,42242.99991,,0.621225,,2,,42242.99991,42242.99991,1,1,1,0,0,0,0.071,,0.478658,,2,0.0355,,0.239329,,64,0,17,0,32,0,8,0,0.038,2,0.019
15_9,2253.333253,0.016859,,38654,,177231,,0.054,,0.023,40003,0,,0,0,40003,2253.333253,42256.33325,,0.763185,,1,,42256.33325,42256.33325,1,1,1,0,0,0,0.023,,0.669326,,1,0.023,,0.669326,,11,3,36,7,11,3,36,7,0.15,8,0.01875
15_16,2266.666734,0.010883,,59107,,293156,,0.089,,0.021,40004,0,,0,0,40004,2266.666734,42270.66673,,0.948212,,1,,42270.66673,42270.66673,1,1,1,0,0,0,0.021,,0.827329,,1,0.021,,0.827329,,45,1,25,1,45,1,25,1,0.194,2,0.097
15_14,2253.333169,0.011515,,37653,,172723,,0.051,,0.013,40003,0,,0,0,40003,2253.333169,42256.33317,,0.627197,,1,,42256.33317,42256.33317,1,1,1,0,0,0,0.013,,0.551682,,1,0.013,,0.551682,,46,1,13,1,46,1,13,1,0.041,3,0.013667
15_17,2280.000076,0.012464,,43539,,206233,,0.062,,0.015,40004,1,,1,0,40004,2280.000076,42284.00008,,0.089464,,1,,42284.00008,42284.00008,1,1,1,0,0,0,0.015,,0,,0,0.015,,0,,0,0,0,0,0,0,0,0,0,0,0
15_10,2279.999909,0.017885,,61688,,306972,,0.095,,0.024,40004,1,,0,1,40004,2279.999909,42283.99991,,0.136885,,1,,42283.99991,42283.99991,1,1,1,0,0,0,0.024,,0,,0,0.024,,0,,0,0,0,0,0,0,0,0,0.019,1,0.019
