Ins,LB.2nd.Stage,Time.LB,Avg.Time.LB,Num.Nodes,Avg.Nodes,Num.Arcs,Avg.Arcs,Time.Build.G1,Avg.Time.Build.G1,Time.Find.SP,ShortestPath.Cost,Solve optimally by Heu,Num.Ins.Opt.Heu,Kahn_Heu is feasible,Kahn_SP2 is feasible,Obj.MP,Obj.SP,Total.Cost,Avg.Cost,Total.Time,Avg.Time,Num.LBBD.Iters,Avg.Iter,UB,currentLB,OP.Status,MP.Status,SP.Status,Gap,MP.gap,SP.gap,Total.Time.MP,Avg.T.Time.MP,Total.Time.SP,Avg.T.Time.SP,Num.SP-1.Solved,Avg.Time.MP,Avg.MP.Time,Avg.Time.SP,Avg.SP.Time,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood.Cuts,Avg.Num.Lazy1,Avg.Num.Lazy2,Avg.Num.Lazy3,Avg.Num.SP-No.Cuts,Time.Solve.SP2-S2,Num.SP-S2.Solved,Avg.Time.Solve.SP-S2
10_20,1600.000101,0.009039,,1983,,6216,,0.001,,0,40001,1,,1,0,40001,1600.000101,41601.0001,,0.010039,,1,,41601.0001,41601.0001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_28,1639.999995,0.010271,,4096,,15522,,0.003,,0,40003,1,,0,1,40003,1639.999995,41643,,0.013271,,1,,41643,41643,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.013,1,0.013
10_27,1469.999966,0.017003,,1301,,4000,,0,,0,40001,1,,1,0,40001,1469.999966,41470.99997,,0.017003,,1,,41470.99997,41470.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_29,1490.000063,0.008812,,2712,,9535,,0.002,,0,40002,1,,1,0,40002,1490.000063,41492.00006,,0.010812,,1,,41492.00006,41492.00006,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_26,1470.000044,0.014432,,5602,,22763,,0.005,,0,40004,1,,1,0,40004,1470.000044,41474.00004,,0.019432,,1,,41474.00004,41474.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_21,1630.000019,0.012763,,3613,,13388,,0.003,,0,40003,1,,1,0,40003,1630.000019,41633.00002,,0.015763,,1,,41633.00002,41633.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_25,1490.000063,0.009686,,1889,,5924,,0.001,,0,30002,1,,1,0,30002,1490.000063,31492.00006,,0.010686,,1,,31492.00006,31492.00006,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_30,1630.000019,0.011825,,1966,,6156,,0.001,,0,30002,1,,1,0,30002,1630.000019,31632.00002,,0.012825,,1,,31632.00002,31632.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
15_2,2253.333169,0.012428,0.014227667,21059,38356.5,90744,179164.4667,0.026,0.0538,0.005,50003,1,22,1,0,50003,2253.333169,52256.33317,47635.67766,0.043428,0.259997,1,1.133333333,52256.33317,52256.33317,1,1,1,0,0,0,0.005,0.067433333,0,0.124536,0,0.005,0.031344433,0,0.0779844,0,0,0,0,0,0,0,0,0,0,0
15_1,2279.999822,0.013164,,37229,,170347,,0.05,,0.012,40003,1,,1,0,40003,2279.999822,42282.99982,,0.075164,,1,,42282.99982,42282.99982,1,1,1,0,0,0,0.012,,0,,0,0.012,,0,,0,0,0,0,0,0,0,0,0,0,0
15_9,2253.333253,0.012165,,38060,,173915,,0.051,,0.013,50002,0,,0,0,50002,2253.333253,52255.33325,,0.361422,,1,,52255.33325,52255.33325,1,1,1,0,0,0,0.013,,0.285257,,1,0.013,,0.285257,,28,0,31,1,28,0,31,1,0.036,2,0.018
