Ins,LB.2nd.Stage,Time.LB,Avg.Time.LB,Num.Nodes,Avg.Nodes,Num.Arcs,Avg.Arcs,Time.Build.G1,Avg.Time.Build.G1,Time.Find.SP,ShortestPath.Cost,Solve optimally by Heu,Num.Ins.Opt.Heu,Kahn_Heu is feasible,Kahn_SP2 is feasible,Obj.MP,Obj.SP,Total.Cost,Avg.Cost,Total.Time,Avg.Time,Num.LBBD.Iters,Avg.Iter,UB,currentLB,OP.Status,MP.Status,SP.Status,Gap,MP.gap,SP.gap,Total.Time.MP,Avg.T.Time.MP,Total.Time.SP,Avg.T.Time.SP,Num.SP-1.Solved,Avg.Time.MP,Avg.MP.Time,Avg.Time.SP,Avg.SP.Time,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood.Cuts,Avg.Num.Lazy1,Avg.Num.Lazy2,Avg.Num.Lazy3,Avg.Num.SP-No.Cuts,Time.Solve.SP2-S2,Num.SP-S2.Solved,Avg.Time.Solve.SP-S2
10_1,1489.999895,0.01511,0.011958433,1296,1175.266667,3567,3209.233333,0,0.0003,0,20002,1,28,1,0,20002,1489.999895,21491.9999,28460.19997,0.01511,0.015851167,1,1,21491.9999,21491.9999,1,1,1,0,0,0,0,0,0,0.003592733,0,0,0,0,0.003592733,0,0,0,0,0,0,0,0,0,0,0
10_6,1630.000019,0.021759,,894,,2245,,0,,0,30001,1,,1,0,30001,1630.000019,31631.00002,,0.021759,,1,,31631.00002,31631.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_10,1600.000101,0.009698,,1190,,3266,,0,,0,20002,1,,1,0,20002,1600.000101,21602.0001,,0.009698,,1,,21602.0001,21602.0001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_8,749.999678,0.006777,,575,,1346,,0,,0,30001,1,,1,0,30001,749.999678,30750.99968,,0.006777,,1,,30750.99968,30750.99968,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_5,1569.999965,0.008994,,1746,,5160,,0.001,,0,30002,1,,0,1,30002,1569.999965,31571.99997,,0.009994,,1,,31571.99997,31571.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_4,1469.999915,0.008566,,1630,,4658,,0.001,,0,30001,1,,1,0,30001,1469.999915,31470.99992,,0.009566,,1,,31470.99992,31470.99992,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_3,720.000118,0.013621,,2197,,6806,,0.001,,0,20003,1,,1,0,20003,720.000118,20723.00012,,0.014621,,1,,20723.00012,20723.00012,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_7,1479.999951,0.015445,,1235,,3304,,0.001,,0,30001,0,,0,0,30001,1479.999951,31480.99995,,0.073861,,1,,31480.99995,31480.99995,1,1,1,0,0,0,0,,0.057416,,1,0,,0.057416,,0,2,6,1,0,2,6,1,0.008,3,0.002667
10_2,1560.000014,0.009924,,1296,,3567,,0,,0,20002,1,,0,1,20002,1560.000014,21562.00001,,0.009924,,1,,21562.00001,21562.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_9,1630.000019,0.012123,,908,,2279,,0,,0,30002,1,,1,0,30002,1630.000019,31632.00002,,0.012123,,1,,31632.00002,31632.00002,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_14,1489.999895,0.010154,,405,,872,,0,,0,30002,1,,1,0,30002,1489.999895,31491.9999,,0.010154,,1,,31491.9999,31491.9999,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_11,1599.99997,0.012211,,1166,,3178,,0,,0,20002,1,,1,0,20002,1599.99997,21601.99997,,0.012211,,1,,21601.99997,21601.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_16,1539.99992,0.01608,,2197,,6806,,0.001,,0,20003,1,,1,0,20003,1539.99992,21542.99992,,0.01708,,1,,21542.99992,21542.99992,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_15,1520.000038,0.015118,,1301,,3585,,0,,0,30001,1,,1,0,30001,1520.000038,31521.00004,,0.015118,,1,,31521.00004,31521.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_18,1609.999961,0.016655,,1235,,3304,,0,,0,30001,1,,1,0,30001,1609.999961,31610.99996,,0.016655,,1,,31610.99996,31610.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_17,1600.000101,0.014749,,652,,1438,,0,,0,30001,1,,1,0,30001,1600.000101,31601.0001,,0.014749,,1,,31601.0001,31601.0001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_12,1479.999927,0.009692,,846,,2179,,0,,0,30002,1,,1,0,30002,1479.999927,31481.99993,,0.009692,,1,,31481.99993,31481.99993,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_20,1609.999961,0.011355,,1405,,3867,,0.001,,0,30001,1,,1,0,30001,1609.999961,31610.99996,,0.012355,,1,,31610.99996,31610.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_19,750,0.016158,,908,,2279,,0,,0,30002,1,,1,0,30002,750,30752,,0.016158,,1,,30752,30752,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_13,1520.000008,0.009311,,701,,1680,,0,,0,20001,1,,1,0,20001,1520.000008,21521.00001,,0.009311,,1,,21521.00001,21521.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_21,1599.99997,0.011387,,1537,,4363,,0.001,,0,30001,1,,1,0,30001,1599.99997,31600.99997,,0.012387,,1,,31600.99997,31600.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_22,1250,0.006745,,1235,,3304,,0,,0,30001,1,,1,0,30001,1250,31251,,0.006745,,1,,31251,31251,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_25,1609.999961,0.016757,,701,,1680,,0,,0,20001,1,,0,1,20001,1609.999961,21610.99996,,0.016757,,1,,21610.99996,21610.99996,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0.002,1,0.002
10_26,1479.999927,0.009124,,1235,,3304,,0.001,,0,30001,1,,1,0,30001,1479.999927,31480.99993,,0.010124,,1,,31480.99993,31480.99993,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_28,1520.000008,0.009249,,575,,1346,,0,,0,30002,1,,1,0,30002,1520.000008,31522.00001,,0.009249,,1,,31522.00001,31522.00001,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_23,1599.99997,0.011581,,1537,,4363,,0.001,,0,30001,1,,1,0,30001,1599.99997,31600.99997,,0.012581,,1,,31600.99997,31600.99997,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
10_29,1599.99997,0.011371,,1166,,3178,,0,,0,20002,0,,0,0,20002,1599.99997,21601.99997,,0.061737,,1,,21601.99997,21601.99997,1,1,1,0,0,0,0,,0.050366,,1,0,,0.050366,,3,0,11,0,3,0,11,0,0.002,1,0.002
10_30,1520.000038,0.009671,,846,,2179,,0,,0,30002,1,,1,0,30002,1520.000038,31522.00004,,0.009671,,1,,31522.00004,31522.00004,1,1,1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
